store_nbr,city,total_sales,total_transactions,average_ticket
51,Guayaquil,33603861.27734601,96734253,0.34738327154235643
42,Cuenca,9170312.699923702,27170880,0.3375051783351773
21,Santo Domingo,9507988.13422,28509162,0.33350640521177016
29,Guayaquil,9977453.053972,33156585,0.30091920063456473
52,Manta,2764970.280248999,9306066,0.29711483673648986
53,Manta,11561703.816803098,40058436,0.28862094907557295
49,Quito,44346822.76006601,154116468,0.28774876128140964
3,Quito,51533528.135850966,180583425,0.28537241519176504
28,Guayaquil,18799690.860665895,65909910,0.28523314416095996
20,Quito,13380707.1589421,48084663,0.27827390947799924
7,Quito,27464557.40012003,100728012,0.27266057231547497
36,Libertad,15652368.298614003,58546389,0.267349849682685
45,Quito,55689022.002460025,208735461,0.266792339622926
44,Quito,63356137.229999,244741167,0.2588699645695446
41,Machala,15335460.758490698,59447982,0.2579643621627173
39,Cuenca,20665771.041528,80385888,0.2570820769129029
40,Machala,18759204.435964003,73283892,0.25597991487630056
6,Quito,25720786.244983003,103222977,0.2491769467662515
33,Quevedo,14471381.906268999,58583943,0.2470195955616883
22,Puyo,4201149.891809,17065785,0.24617384385242166
37,Cuenca,20357962.0574254,83442810,0.24397502981293892
17,Quito,18416132.628170993,77271249,0.23833098165879257
47,Quito,52024475.95600098,219915663,0.236565578123469
27,Daule,19602762.416315198,83653482,0.23433289263817134
31,Babahoyo,18140255.09862899,77637945,0.23365192237673202
54,El Carmen,11311365.857894903,48812181,0.23173244108668087
25,Salinas,11654636.319426492,51082779,0.22815196329523285
43,Esmeraldas,16722039.301943598,73323822,0.22805738770605272
9,Quito,26969879.52366951,118270152,0.22803622949321575
4,Quito,19305192.496972002,84772380,0.2277297451949798
16,Santo Domingo,11205204.959761197,49230951,0.22760488538523654
26,Guayaquil,7929032.319959804,35847735,0.22118642418997475
11,Cayambe,28906533.919296008,133619574,0.2163345762447649
48,Quito,36741804.0998165,172072263,0.21352543088142278
46,Quito,42804727.29364522,201725469,0.21219297447088953
35,Playas,7822668.914574604,37762725,0.2071531891455027
2,Quito,22026881.902564198,108342300,0.20330823604967033
13,Latacunga,10730879.228961004,52872402,0.20295804281713933
24,Guayaquil,24233793.515670013,119754525,0.20236223654738736
5,Santo Domingo,15904378.4154162,78906729,0.20155921575986505
8,Quito,31124067.145028997,155944800,0.19958387291547391
38,Loja,19248172.9914956,96477480,0.19950949166059895
50,Ambato,29273750.99657429,147630153,0.19829113769579504
23,Ambato,11886021.880041,60139431,0.1976410764518374
18,Quito,13551956.476892099,69663066,0.19453574548229186
30,Guayaquil,7538101.0539620025,39380847,0.19141541201391638
19,Guaranda,13312010.881695004,70833180,0.18793467809429146
10,Quito,9819048.840916,55572396,0.1766893196563992
32,Guayaquil,6070115.0794115,35819487,0.16946404283823216
1,Quito,14403622.194668297,85705950,0.16805860263690323
12,Latacunga,10876899.144276,65935914,0.1649616799772579
15,Ibarra,11666912.552593,74254158,0.15712133659360866
14,Riobamba,11610442.909157997,76863468,0.1510528110591887
34,Guayaquil,17420138.44515,129768606,0.1342400059776399
