year,month,total_sales,average_oil_price
2015,1,14896922.057198502,51.08909090909068
2015,2,13742395.848381195,50.394750000000634
2015,3,15598607.518355295,47.823636363636
2015,4,14955068.1707755,55.372045454544754
2015,5,17730368.244309,59.64190476190522
2015,6,22652762.26303669,59.80041666666642
2015,7,22982392.4326589,54.015277777776554
2015,8,22963674.241281506,42.867619047618874
2015,9,23240882.477911193,45.55545454545416
2015,10,23878267.6645621,46.22363636363616
2015,11,22804953.368211202,42.56166666666714
2015,12,28385843.583033692,37.14217391304291
2016,1,23977804.88543411,36.195952380953266
2016,2,21947408.801002797,31.295396825396324
2016,3,23131780.883819886,37.686956521740214
2016,4,26964104.8811302,40.86545454545363
2016,5,28544965.089938693,47.94760869565245
2016,6,23929812.250308607,48.757272727273346
2016,7,25437253.818990614,47.0723809523813
2016,8,22452414.317894906,44.72434782608748
2016,9,22417448.0969967,46.6020454545468
2016,10,24030389.816292014,49.775238095238095
2016,11,25572442.96933651,45.58068181818323
2016,12,30776136.970469102,53.13695652174007
