store_nbr,city,total_sales,total_transactions,average_ticket,ticket_group
44,Quito,63356137.229999006,244741167,0.25886996456954464,ticket_alto
45,Quito,55689022.00246003,208735461,0.26679233962292603,ticket_alto
47,Quito,52024475.95600099,219915663,0.23656557812346904,ticket_alto
3,Quito,51533528.13585097,180583425,0.2853724151917651,ticket_alto
49,Quito,44346822.76006597,154116468,0.2877487612814094,ticket_alto
46,Quito,42804727.29364523,201725469,0.2121929744708896,ticket_bajo
48,Quito,36741804.09981651,172072263,0.2135254308814228,ticket_bajo
51,Guayaquil,33603861.277346,96734253,0.3473832715423564,ticket_alto
8,Quito,31124067.14502899,155944800,0.19958387291547386,ticket_bajo
50,Ambato,29273750.996574316,147630153,0.19829113769579523,ticket_bajo
11,Cayambe,28906533.919296,133619574,0.21633457624476485,ticket_bajo
7,Quito,27464557.400120024,100728012,0.2726605723154749,ticket_alto
9,Quito,26969879.523669504,118270152,0.2280362294932157,ticket_bajo
6,Quito,25720786.24498299,103222977,0.24917694676625138,ticket_alto
24,Guayaquil,24233793.51567,119754525,0.20236223654738728,ticket_bajo
2,Quito,22026881.90256422,108342300,0.20330823604967055,ticket_bajo
39,Cuenca,20665771.041527998,80385888,0.2570820769129029,ticket_alto
37,Cuenca,20357962.057425406,83442810,0.243975029812939,ticket_alto
27,Daule,19602762.416315198,83653482,0.23433289263817134,ticket_alto
4,Quito,19305192.496971995,84772380,0.2277297451949797,ticket_bajo
38,Loja,19248172.9914956,96477480,0.19950949166059895,ticket_bajo
28,Guayaquil,18799690.860665895,65909910,0.28523314416095996,ticket_alto
40,Machala,18759204.435964003,73283892,0.25597991487630056,ticket_alto
17,Quito,18416132.628170997,77271249,0.2383309816587926,ticket_alto
31,Babahoyo,18140255.098629005,77637945,0.2336519223767322,ticket_alto
34,Guayaquil,17420138.445149995,129768606,0.13424000597763988,ticket_bajo
43,Esmeraldas,16722039.3019436,73323822,0.22805738770605274,ticket_bajo
5,Santo Domingo,15904378.4154162,78906729,0.20155921575986505,ticket_bajo
36,Libertad,15652368.298613999,58546389,0.26734984968268494,ticket_alto
41,Machala,15335460.75849069,59447982,0.2579643621627171,ticket_alto
33,Quevedo,14471381.906269,58583943,0.24701959556168832,ticket_alto
1,Quito,14403622.194668304,85705950,0.1680586026369033,ticket_bajo
18,Quito,13551956.476892108,69663066,0.194535745482292,ticket_bajo
20,Quito,13380707.1589421,48084663,0.27827390947799924,ticket_alto
19,Guaranda,13312010.881694997,70833180,0.18793467809429135,ticket_bajo
23,Ambato,11886021.880041,60139431,0.1976410764518374,ticket_bajo
15,Ibarra,11666912.552593004,74254158,0.15712133659360872,ticket_bajo
25,Salinas,11654636.319426497,51082779,0.22815196329523296,ticket_bajo
14,Riobamba,11610442.909157999,76863468,0.15105281105918872,ticket_bajo
53,Manta,11561703.816803098,40058436,0.28862094907557295,ticket_alto
54,El Carmen,11311365.857894903,48812181,0.23173244108668087,ticket_bajo
16,Santo Domingo,11205204.9597612,49230951,0.22760488538523663,ticket_bajo
12,Latacunga,10876899.144275999,65935914,0.16496167997725789,ticket_bajo
13,Latacunga,10730879.228960998,52872402,0.20295804281713925,ticket_bajo
29,Guayaquil,9977453.053971995,33156585,0.30091920063456457,ticket_alto
10,Quito,9819048.840915998,55572396,0.17668931965639917,ticket_bajo
21,Santo Domingo,9507988.134220002,28509162,0.3335064052117702,ticket_alto
42,Cuenca,9170312.699923702,27170880,0.3375051783351773,ticket_alto
26,Guayaquil,7929032.3199598,35847735,0.2211864241899746,ticket_bajo
35,Playas,7822668.914574598,37762725,0.20715318914550254,ticket_bajo
30,Guayaquil,7538101.053962004,39380847,0.19141541201391643,ticket_bajo
32,Guayaquil,6070115.079411501,35819487,0.1694640428382322,ticket_bajo
22,Puyo,4201149.891809001,17065785,0.24617384385242172,ticket_alto
52,Manta,2764970.280249,9306066,0.29711483673649,ticket_alto
